Time,Amount,Note
"17/02/2018, 17:50",24 ml
"18/02/2018, 00:00",25 ml
"18/02/2018, 10:00",25 ml
"18/02/2018, 14:46",25 ml
"18/02/2018, 20:05",25 ml
"18/02/2018, 23:15",11 ml
"19/02/2018, 05:14",24 ml
"19/02/2018, 17:09",20 ml
"19/02/2018, 20:40",18 ml
"19/02/2018, 23:00",10 ml
"20/02/2018, 02:42",20 ml
"20/02/2018, 10:36",20 ml
"20/02/2018, 13:36",20 ml
"20/02/2018, 19:51",20 ml
"20/02/2018, 22:48",12 ml
"21/02/2018, 10:06",12 ml
"21/02/2018, 22:36",30 ml
"22/02/2018, 12:14",20 ml
"22/02/2018, 17:22",25 ml
"22/02/2018, 21:33",18 ml
"23/02/2018, 10:09",18 ml
"23/02/2018, 14:21",18 ml
"23/02/2018, 18:23",18 ml
"24/02/2018, 12:45",18 ml
"24/02/2018, 15:44",18 ml
"24/02/2018, 18:34",10 ml
"24/02/2018, 22:12",10 ml
"25/02/2018, 04:48",10 ml
"25/02/2018, 09:57",10 ml
"25/02/2018, 15:55",10 ml
"25/02/2018, 20:43",10 ml
"26/02/2018, 03:56",15 ml
"26/02/2018, 17:19",10 ml
"27/02/2018, 14:00",25 ml
"28/02/2018, 03:11",25 ml
